ID_REF	Description	GSM41346	GSM41347	GSM41348	GSM41349	GSM41350	GSM41351	GSM41352	GSM41353	GSM41354	GSM41355	GSM41356	GSM41357
201520_s_at	NA	2436.1	2494.8	2905.3	2465.8	2222.2	2458.2	2512.5	2105.3	2948.9	2361	2241.8	2621.7
201521_s_at	NA	624.9	501.1	562.6	709.8	516.9	624.7	552.5	496.3	723.9	601.2	569.1	861.9
201522_x_at	NA	136.8	264.6	189.2	185.5	241.7	210.1	287.7	166.1	144.5	274.9	224.3	134.5
201523_x_at	NA	1709.6	1473	1453.4	1833.3	1503.2	1172.6	2203.6	1423.7	1395	1802	1724	1679.7
201524_x_at	NA	1790.7	1834.9	1583.7	2292	2511.9	1420.6	2199.9	2483.5	2014.3	2264	2804.7	2265.5
201525_at	NA	218.5	194.3	138.6	123.6	182	244.6	270.4	224	171.1	308.5	205.6	193.1
201526_at	NA	1086.6	1340.1	1731.6	781.4	823.1	1378.1	1072.8	813.1	1109.1	1113.8	939	1155.6
201527_at	NA	3410	4319.7	3965	2738.6	3174.1	4504.9	3414.3	2854.5	4405.3	3164.1	3043.4	3413.1
201528_at	NA	1055.3	987.2	950.4	1478.9	1347.7	926.2	1220.9	1284.8	958.3	1584.6	1395.7	1049.2
201529_s_at	NA	1318.6	971.7	1032.3	1527.7	958.3	1043.1	1315.2	1233.6	1158.9	1173.6	1325.8	1110.1
201530_x_at	NA	12571.3	9252.7	11027.2	9363.1	12181.2	14790.8	11088.8	11616.2	14832.4	12596.4	10673.3	12881.7
201531_at	NA	730.7	1409.3	1368.4	402.6	252.3	353.6	138.5	316.9	133.6	202.2	261.4	223
201532_at	NA	2796.2	4074.9	4303.8	3678.9	4691.9	3621.9	2688.5	4689.5	3943.5	2820.6	4484	4050.3
201533_at	NA	1333.7	2511.6	1455.3	1425.5	1956.7	1776.2	1054.3	1982.3	1403.9	2063.9	2039.2	958.6
201534_s_at	NA	278.8	637.2	299.5	275.3	132.7	159.2	186.5	221.1	173.6	210.3	258.6	303.6
201535_at	NA	396.8	332.5	354.1	332.9	292.2	240.3	357	289.8	263.6	403.4	256.8	235.3
201536_at	NA	862	255.3	669.5	1103.1	730.9	667.8	1126.9	810.8	1218.3	1037.7	944	917.6
201537_s_at	NA	695.1	286.6	558.2	897.9	468.4	865.4	793.5	661.5	854.8	680.7	614.9	846.8
201538_s_at	NA	432.7	183.3	503.7	496.7	370.1	612.2	795.7	390.3	645.9	519.7	447	810.1
201539_s_at	NA	173.7	128.9	94.4	244.9	89.6	128.9	284.8	125	133.6	340	135.4	124.6
201540_at	NA	490	212.5	282.6	858.1	316.3	339.2	743.9	361.9	358.3	759	323.8	306.2
201541_s_at	NA	470.1	968.3	735.5	559.1	640.7	453	425.2	683.9	422.2	527.6	850.3	668.6
201542_at	NA	973.6	1399.5	880.1	1184.9	1891.3	726	916.7	1902.3	1239.5	1207.4	1871.7	1272.6
201543_s_at	NA	1331.5	2463.6	2181.3	1063.3	2257.5	1843.9	1247.7	1617.8	1498.1	1298.5	1669.4	1851
201544_x_at	NA	2881.1	1912.3	2166.5	2726	2093.7	2542.9	2998.2	1843.4	2317.6	2901.4	1992.5	2556.3
201545_s_at	NA	554.9	312.2	620.8	834.1	430	534.2	743.8	360.7	787.8	647.2	485.2	654
201546_at	NA	1321.5	1563.7	1273.9	1295.4	1286.5	1099	943.9	1245.4	1111.9	1089.9	1201.1	1228
201547_at	NA	12.3	81.3	36.4	32.5	38.4	7.3	19.5	33.2	66.7	43.7	9.1	57.5
201548_s_at	NA	753.1	474.3	625.1	707.4	558.2	728	701.8	737.1	711.6	856.5	737.3	761.1
201549_x_at	NA	861.7	603.4	727.7	945.3	799.7	756.6	877.4	740.7	814.6	869.6	692.4	723.5
201550_x_at	NA	17079.6	28605.6	21047	12034	22123.8	28692.3	15634.3	22747.5	18032.3	15056.1	23164.7	22570.3
201551_s_at	NA	1662.4	752.4	2350.8	1232.8	522.6	1899.1	1276.9	367.7	1778.3	940.2	447.1	2023.6
201552_at	NA	2655	2613.7	3177.9	2417.3	2132.6	2630.7	2146.5	1924.6	2561.6	2169.9	1973	2460.3
201553_s_at	NA	6086.1	7939.1	8483.8	4358.1	6636.3	6956.9	4905.5	6237.3	6918.5	4634.2	6658.7	7313.9
201554_x_at	NA	735.7	902.9	1152.2	766.8	555.3	956.8	654	710	1204	774.8	734.7	1203.2
